ID_STATION,NOM_STATION,RA,ADRESSE,MUNICIPALITE,TYPE_MILIEU,DATE_OUVERTURE,DATE_FERMETURE,LATITUDE,LONGITUDE
1802,Murdochville - École anglaise,11,5ième rue,Murdochville,Urbain,1975-01-23,1995-10-30,48.95982,-65.498987
1803,Murdochville - Garage municipal,11,Chemin de la Mine,Murdochville,Urbain,1976-04-28,1989-02-27,48.952949,-65.496874
1804,Murdochville,11,603 des Bouleaux,Murdochville,Urbain,1989-07-15,2004-03-31,48.954874,-65.496572
1805,Murdochville - Parc Lions,11,603 des Bouleaux,Murdochville,Urbain,2005-01-01,2008-10-29,48.95485,-65.496557
1810,Auclair,1,"66, rang St-Grégoire Nord",Auclair,Forêt,1989-11-06,,47.733522,-68.706991
1820,Côte-Ouimet,1,Rang Ouimet,Saint-Charles-Garnier,Forêt,1990-06-20,1997-06-12,48.2931,-68.1113
1830,Marguerite,1,"343 chemin Kempt, v. matapédia",Sainte-Marguerite-Marie,Forêt,1991-03-01,1997-06-12,48.3178,-67.0683
2001,Saguenay - Hôtel de ville,2,"Place Davis, Jonquière",Saguenay,Urbain,1975-01-13,1982-09-20,48.42583333,-71.18416667
2003,Saguenay - École Saguenay-Valley,2,"Rue Berthier, Jonquière",Saguenay,Urbain,1975-01-13,1991-10-09,48.43333333,-71.18416667
2004,Saguenay - Saint-Jean-Eudes,2,"Arvida, rue Bonneau, Jonquière",Saguenay,Urbain,1975-01-13,1985-06-30,48.435901,-71.136272
2005,Saguenay - Saint-Jacques,2,"Hocquart, Arvida, Jonquière",Saguenay,Urbain,1975-01-13,1995-04-27,48.418246,-71.177967
2008,Saguenay - Pont Arnaud,2,"Ch. de la réserve, Chicoutimi",Saguenay,Urbain,1975-05-09,1993-06-12,48.40579,-71.122337
2011,Saguenay - Powell,2,"Rue Powel, (Arvida) Jonquière",Saguenay,Urbain,1975-02-10,1992-11-02,48.43416667,-71.185
2012,Saguenay - Morrisson,2,"Morrisson et Alger, Jonquière",Saguenay,Urbain,1977-04-19,1983-07-29,48.43583333,-71.1975
2016,Saguenay - Parc Powell,2,"2885, rue Berthier",Saguenay,Urbain,1992-10-11,,48.433895,-71.184586
2020,Saguenay - Racine,2,"222, rue Racine, Chicoutimi",Saguenay,Urbain,1978-01-05,2001-05-07,48.4275,-71.06388889
2021,Saguenay - Dominique Racine,2,"985 Rue Bégin, Chicoutimi",Saguenay,Urbain,1986-01-26,1995-04-27,48.41361111,-71.06666667
2022,Saguenay - UQAC,2,"789, boul. Des Étudiants",Saguenay,Urbain,2002-09-24,,48.41638889,-71.0525
2101,Alma - École Jean-Dequen,2,"90, Des Érables, Alma",Alma,Urbain,1990-12-07,2014-10-20,48.569538,-71.635098
2200,Saguenay - 2ième rue,2,"422, 2e rue, La Baie",Saguenay,Urbain,1982-01-05,1993-01-19,48.332212,-70.880499
